GlobalID,P||bin,Ptbin,P||bin_lowedge,P||bin_highedge,Ptbin_lowedge,Ptbin_highedge
200,9,13,6.00,7.00,1.50,2.50
216,9,14,6.00,7.00,2.50,4.50
9,10,1,7.00,8.00,0.00,0.07
25,10,2,7.00,8.00,0.07,0.15
41,10,3,7.00,8.00,0.15,0.25
57,10,4,7.00,8.00,0.25,0.33
73,10,5,7.00,8.00,0.33,0.40
89,10,6,7.00,8.00,0.40,0.47
105,10,7,7.00,8.00,0.47,0.55
121,10,8,7.00,8.00,0.55,0.70
137,10,9,7.00,8.00,0.70,0.85
153,10,10,7.00,8.00,0.85,1.00
169,10,11,7.00,8.00,1.00,1.25
185,10,12,7.00,8.00,1.25,1.50
201,10,13,7.00,8.00,1.50,2.50
217,10,14,7.00,8.00,2.50,4.50
10,11,1,8.00,9.00,0.00,0.07
26,11,2,8.00,9.00,0.07,0.15
42,11,3,8.00,9.00,0.15,0.25
58,11,4,8.00,9.00,0.25,0.33
74,11,5,8.00,9.00,0.33,0.40
90,11,6,8.00,9.00,0.40,0.47
106,11,7,8.00,9.00,0.47,0.55
122,11,8,8.00,9.00,0.55,0.70
138,11,9,8.00,9.00,0.70,0.85
154,11,10,8.00,9.00,0.85,1.00
170,11,11,8.00,9.00,1.00,1.25
186,11,12,8.00,9.00,1.25,1.50
202,11,13,8.00,9.00,1.50,2.50
218,11,14,8.00,9.00,2.50,4.50
11,12,1,9.00,10.00,0.00,0.07
27,12,2,9.00,10.00,0.07,0.15
43,12,3,9.00,10.00,0.15,0.25
59,12,4,9.00,10.00,0.25,0.33
75,12,5,9.00,10.00,0.33,0.40
91,12,6,9.00,10.00,0.40,0.47
107,12,7,9.00,10.00,0.47,0.55
123,12,8,9.00,10.00,0.55,0.70
139,12,9,9.00,10.00,0.70,0.85
155,12,10,9.00,10.00,0.85,1.00
171,12,11,9.00,10.00,1.00,1.25
187,12,12,9.00,10.00,1.25,1.50
203,12,13,9.00,10.00,1.50,2.50
219,12,14,9.00,10.00,2.50,4.50
12,13,1,10.00,15.00,0.00,0.07
28,13,2,10.00,15.00,0.07,0.15
44,13,3,10.00,15.00,0.15,0.25
60,13,4,10.00,15.00,0.25,0.33
76,13,5,10.00,15.00,0.33,0.40
92,13,6,10.00,15.00,0.40,0.47
108,13,7,10.00,15.00,0.47,0.55
124,13,8,10.00,15.00,0.55,0.70
140,13,9,10.00,15.00,0.70,0.85
156,13,10,10.00,15.00,0.85,1.00
172,13,11,10.00,15.00,1.00,1.25
188,13,12,10.00,15.00,1.25,1.50
204,13,13,10.00,15.00,1.50,2.50
220,13,14,10.00,15.00,2.50,4.50
13,14,1,15.00,20.00,0.00,0.07
29,14,2,15.00,20.00,0.07,0.15
45,14,3,15.00,20.00,0.15,0.25
61,14,4,15.00,20.00,0.25,0.33
77,14,5,15.00,20.00,0.33,0.40
93,14,6,15.00,20.00,0.40,0.47
109,14,7,15.00,20.00,0.47,0.55
125,14,8,15.00,20.00,0.55,0.70
141,14,9,15.00,20.00,0.70,0.85
157,14,10,15.00,20.00,0.85,1.00
173,14,11,15.00,20.00,1.00,1.25
189,14,12,15.00,20.00,1.25,1.50
205,14,13,15.00,20.00,1.50,2.50
221,14,14,15.00,20.00,2.50,4.50
14,15,1,20.00,40.00,0.00,0.07
30,15,2,20.00,40.00,0.07,0.15
46,15,3,20.00,40.00,0.15,0.25
62,15,4,20.00,40.00,0.25,0.33
78,15,5,20.00,40.00,0.33,0.40
94,15,6,20.00,40.00,0.40,0.47
110,15,7,20.00,40.00,0.47,0.55
126,15,8,20.00,40.00,0.55,0.70
142,15,9,20.00,40.00,0.70,0.85
158,15,10,20.00,40.00,0.85,1.00
174,15,11,20.00,40.00,1.00,1.25
190,15,12,20.00,40.00,1.25,1.50
206,15,13,20.00,40.00,1.50,2.50
222,15,14,20.00,40.00,2.50,4.50
15,16,1,40.00,60.00,0.00,0.07
31,16,2,40.00,60.00,0.07,0.15
47,16,3,40.00,60.00,0.15,0.25
63,16,4,40.00,60.00,0.25,0.33
79,16,5,40.00,60.00,0.33,0.40
95,16,6,40.00,60.00,0.40,0.47
111,16,7,40.00,60.00,0.47,0.55
127,16,8,40.00,60.00,0.55,0.70
143,16,9,40.00,60.00,0.70,0.85
159,16,10,40.00,60.00,0.85,1.00
175,16,11,40.00,60.00,1.00,1.25
191,16,12,40.00,60.00,1.25,1.50
207,16,13,40.00,60.00,1.50,2.50
223,16,14,40.00,60.00,2.50,4.50
