P||bin,Ptbin,cross_section,statistical_uncertainty,total_uncertainty
14,7,6.11e-41,1.29e-42,3.37e-42
14,8,6.90e-41,1.20e-42,3.69e-42
14,9,7.41e-41,1.20e-42,3.97e-42
14,10,7.54e-41,1.17e-42,4.05e-42
14,11,7.30e-41,1.01e-42,3.98e-42
14,12,6.42e-41,9.67e-43,3.66e-42
14,13,3.85e-41,4.38e-43,2.27e-42
14,14,4.34e-42,1.12e-43,3.20e-43
15,1,8.66e-43,8.30e-44,9.66e-44
15,2,2.27e-42,1.21e-43,1.77e-43
15,3,4.46e-42,1.48e-43,2.72e-43
15,4,7.64e-42,2.09e-43,4.43e-43
15,5,1.05e-41,2.37e-43,5.67e-43
15,6,1.32e-41,2.67e-43,6.69e-43
15,7,1.55e-41,2.77e-43,7.71e-43
15,8,1.77e-41,2.62e-43,8.61e-43
15,9,1.96e-41,2.68e-43,9.69e-43
15,10,2.06e-41,2.55e-43,1.02e-42
15,11,2.04e-41,2.29e-43,1.01e-42
15,12,1.85e-41,2.15e-43,9.49e-43
15,13,1.27e-41,1.10e-43,7.06e-43
15,14,2.42e-42,4.12e-44,1.97e-43
16,1,1.91e-43,2.50e-44,3.26e-44
16,2,4.83e-43,5.71e-44,8.70e-44
16,3,8.21e-43,5.57e-44,8.41e-44
16,4,1.24e-42,6.99e-44,1.21e-43
16,5,1.79e-42,8.48e-44,1.70e-43
16,6,2.20e-42,9.46e-44,1.92e-43
16,7,2.40e-42,9.03e-44,1.96e-43
16,8,2.79e-42,9.24e-44,2.13e-43
16,9,3.26e-42,9.57e-44,2.46e-43
16,10,3.51e-42,9.25e-44,2.71e-43
16,11,3.44e-42,8.58e-44,2.71e-43
16,12,3.24e-42,7.80e-44,2.66e-43
16,13,2.40e-42,4.80e-44,1.90e-43
16,14,4.91e-43,1.76e-44,4.92e-44
