# Stage-1 #5 coverage summary (n_toys=20)
# ix iy coverage sigma truth_mean unfolded_mean
5 15 0.7000 5.214825e-44 1.801690e-42 1.792355e-42
6 0 0.5500 2.753479e-41 6.652033e-39 6.667360e-39
6 1 0.8000 1.891128e-41 6.168964e-39 6.171559e-39
6 2 0.6500 1.310270e-41 5.902400e-39 5.903886e-39
6 3 0.8000 1.237685e-41 5.627837e-39 5.628375e-39
6 4 0.7000 1.413326e-41 5.438081e-39 5.438008e-39
6 5 0.7000 1.632322e-41 5.326291e-39 5.327810e-39
6 6 0.6000 1.099179e-41 5.166270e-39 5.168298e-39
6 7 0.7000 9.312322e-42 4.586414e-39 4.588172e-39
6 8 0.6000 7.678943e-42 3.143906e-39 3.144878e-39
6 9 0.7000 5.707222e-42 1.647487e-39 1.647354e-39
6 10 0.8000 3.329027e-42 7.526064e-40 7.523515e-40
6 11 0.6000 2.191989e-42 3.602827e-40 3.601650e-40
6 12 0.7000 6.615091e-43 1.249922e-40 1.250373e-40
6 13 0.8500 4.738150e-43 4.636625e-41 4.639854e-41
6 14 0.6500 1.097447e-43 1.300787e-41 1.298517e-41
6 15 0.7000 4.442187e-44 1.955921e-42 1.947443e-42
7 0 0.8000 1.724478e-41 4.430932e-39 4.438707e-39
7 1 0.6000 1.630575e-41 7.486475e-39 7.489168e-39
7 2 0.7500 1.146471e-41 6.990598e-39 6.991010e-39
7 3 0.7000 9.707833e-42 6.529769e-39 6.528715e-39
7 4 0.7000 8.841896e-42 6.165388e-39 6.163566e-39
7 5 0.6500 8.905911e-42 5.883323e-39 5.883268e-39
7 6 0.7000 8.958441e-42 5.501966e-39 5.502305e-39
7 7 0.7000 5.185340e-42 4.625865e-39 4.625858e-39
7 8 0.5500 4.657754e-42 3.014508e-39 3.014305e-39
7 9 0.5500 3.423505e-42 1.547046e-39 1.546385e-39
7 10 0.6000 1.982803e-42 7.184376e-40 7.179819e-40
7 11 0.6500 1.297512e-42 3.598815e-40 3.596299e-40
7 12 0.7500 4.352580e-43 1.344738e-40 1.344497e-40
