bytes	mtime_epoch	mime	shape	category	lane	git_blob	blob_in_canonical	cited_in_canonical_records	inspection	path
1082872	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	bbb233bd9393eb502d89b04310a825903e7b67b4	False			nd-unfolding/p3f_pet_fullevent/work/MuonResolution_0_1D/p3f_pet_validation_MuonResolution_0_1D.json.domain.json
1081399	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	6ce8e3a64972a1f099b7e493a8c01eb69d981cb9	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINERvA_1_1D/p3f_pet_validation_Muon_Energy_MINERvA_1_1D.json.domain.json
1081252	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	c7a41f338e5c9e9f0851045b0145646f01d0a6fb	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleY_0_1D/p3f_pet_validation_BeamAngleY_0_1D.json.domain.json
1081242	1786035047	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	b5af15994aacdaa1163de8e183fa561b13cba930	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleX_1_1D/p3f_pet_validation_BeamAngleX_1_1D.json.domain.json
1081173	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	e0255afd8fa8adf4160f9cf7d40fef45205b702a	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleY_1_1D/p3f_pet_validation_BeamAngleY_1_1D.json.domain.json
1081140	1786035047	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	f18cb0e09138cfec7b33a5ab7911f09ca835e2d9	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleX_0_1D/p3f_pet_validation_BeamAngleX_0_1D.json.domain.json
1080970	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	68452d99a8b431265c1f3401e5be412a8d153da1	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINERvA_0_1D/p3f_pet_validation_Muon_Energy_MINERvA_0_1D.json.domain.json
1078556	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	b31517c1ca1f5bea04f7ff53ef95e281db03a54b	False			nd-unfolding/p3f_pet_fullevent/work/MuonResolution_1_1D/p3f_pet_validation_MuonResolution_1_1D.json.domain.json
1074886	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	2a0353ba486db9d6753a6f066687e8e2b64ce4a3	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINOS_0_1D/p3f_pet_validation_Muon_Energy_MINOS_0_1D.json.domain.json
1044388	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	a89d4904ac2f9771f28a511e00224b04b30c3a59	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINOS_1_1G/p3f_pet_validation_Muon_Energy_MINOS_1_1G.json.domain.json
