JobID|JobIDRaw|JobName|Account|QOS|Partition|State|ExitCode|Submit|Start|End|ElapsedRaw|NNodes|NCPUS|AllocTRES|WorkDir
58397664_13|58451227|pet-routing-matrix|m3246_g|gpu_shared|shared_gpu_ss11|COMPLETED|0:0|2026-09-15T17:28:26|2026-09-16T23:15:06|2026-09-16T23:49:15|2049|1|32|billing=32,cpu=32,energy=1481523,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-matrix-exec-20260916b
58397664_14|58452036|pet-routing-matrix|m3246_g|gpu_shared|shared_gpu_ss11|COMPLETED|0:0|2026-09-15T17:28:26|2026-09-16T23:42:20|2026-09-17T00:17:34|2114|1|32|billing=32,cpu=32,energy=1329484,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-matrix-exec-20260916b
58397664_15|58452338|pet-routing-matrix|m3246_g|gpu_shared|shared_gpu_ss11|COMPLETED|0:0|2026-09-15T17:28:26|2026-09-16T23:49:47|2026-09-17T00:23:58|2051|1|32|billing=32,cpu=32,energy=1509365,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-matrix-exec-20260916b
58397664_16|58453355|pet-routing-matrix|m3246_g|gpu_shared|shared_gpu_ss11|COMPLETED|0:0|2026-09-15T17:28:26|2026-09-17T00:18:51|2026-09-17T00:55:02|2171|1|32|billing=32,cpu=32,energy=1349578,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-matrix-exec-20260916b
58397664_17|58453559|pet-routing-matrix|m3246_g|gpu_shared|shared_gpu_ss11|COMPLETED|0:0|2026-09-15T17:28:26|2026-09-17T00:29:14|2026-09-17T01:02:24|1990|1|32|billing=32,cpu=32,energy=1527762,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-matrix-exec-20260916b
58397664_18|58454721|pet-routing-matrix|m3246_g|gpu_shared|shared_gpu_ss11|COMPLETED|0:0|2026-09-15T17:28:26|2026-09-17T00:56:12|2026-09-17T01:32:24|2172|1|32|billing=32,cpu=32,energy=1365481,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-matrix-exec-20260916b
58397664_19|58455186|pet-routing-matrix|m3246_g|gpu_shared|shared_gpu_ss11|COMPLETED|0:0|2026-09-15T17:28:26|2026-09-17T01:03:00|2026-09-17T01:36:08|1988|1|32|billing=32,cpu=32,energy=1520969,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-matrix-exec-20260916b
58397664_20|58456381|pet-routing-matrix|m3246_g|gpu_shared|shared_gpu_ss11|COMPLETED|0:0|2026-09-15T17:28:26|2026-09-17T01:33:31|2026-09-17T02:05:45|1934|1|32|billing=32,cpu=32,energy=1281670,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-matrix-exec-20260916b
58397664_21|58456563|pet-routing-matrix|m3246_g|gpu_shared|shared_gpu_ss11|COMPLETED|0:0|2026-09-15T17:28:26|2026-09-17T02:01:50|2026-09-17T02:35:04|1994|1|32|billing=32,cpu=32,energy=1651725,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-matrix-exec-20260916b
58397664_22|58457580|pet-routing-matrix|m3246_g|gpu_shared|shared_gpu_ss11|COMPLETED|0:0|2026-09-15T17:28:26|2026-09-17T02:06:35|2026-09-17T02:38:44|1929|1|32|billing=32,cpu=32,energy=1331232,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-matrix-exec-20260916b
