JobID|QOS|Submit|Start|State|ElapsedRaw|AllocTRES
58302608_5|shared|2026-09-14T04:44:07|2026-09-14T07:33:30|COMPLETED|3785|billing=50,cpu=50,energy=2108323,mem=90G,node=1
58302608_6|shared|2026-09-14T04:44:07|2026-09-14T08:18:54|COMPLETED|3284|billing=50,cpu=50,energy=1746597,mem=90G,node=1
58302608_7|shared|2026-09-14T04:44:07|2026-09-14T08:35:30|COMPLETED|3809|billing=50,cpu=50,energy=1810497,mem=90G,node=1
58302608_8|shared|2026-09-14T04:44:07|2026-09-14T09:03:10|COMPLETED|3388|billing=50,cpu=50,energy=1657177,mem=90G,node=1
58302608_9|shared|2026-09-14T04:44:07|2026-09-14T09:20:35|COMPLETED|3513|billing=50,cpu=50,energy=1868686,mem=90G,node=1
58302608_10|shared|2026-09-14T04:44:07|2026-09-14T09:45:32|COMPLETED|3674|billing=50,cpu=50,energy=1921348,mem=90G,node=1
58302608_11|shared|2026-09-14T04:44:07|2026-09-14T10:14:37|COMPLETED|6965|billing=50,cpu=50,energy=3337479,mem=90G,node=1
58302608_12|shared|2026-09-14T04:44:07|2026-09-14T10:19:23|COMPLETED|4435|billing=50,cpu=50,energy=1986987,mem=90G,node=1
58302608_13|shared|2026-09-14T04:44:07|2026-09-14T10:23:33|COMPLETED|3661|billing=50,cpu=50,energy=2162347,mem=90G,node=1
58302608_14|shared|2026-09-14T04:44:07|2026-09-14T10:29:42|COMPLETED|3973|billing=50,cpu=50,energy=2020271,mem=90G,node=1
58302608_15|shared|2026-09-14T04:44:07|2026-09-14T10:44:15|COMPLETED|4054|billing=50,cpu=50,energy=1738813,mem=90G,node=1
58302608_16|shared|2026-09-14T04:44:07|2026-09-14T10:44:15|COMPLETED|4314|billing=50,cpu=50,energy=2192708,mem=90G,node=1
58302608_17|shared|2026-09-14T04:44:07|2026-09-14T10:58:46|COMPLETED|5257|billing=50,cpu=50,energy=3442579,mem=90G,node=1
58302608_18|shared|2026-09-14T04:44:07|2026-09-14T11:00:51|COMPLETED|5146|billing=50,cpu=50,energy=3180871,mem=90G,node=1
58302608_19|shared|2026-09-14T04:44:07|2026-09-14T11:26:13|COMPLETED|3399|billing=50,cpu=50,energy=1962801,mem=90G,node=1
58302608_20|shared|2026-09-14T04:44:07|2026-09-14T11:27:15|COMPLETED|3744|billing=50,cpu=50,energy=1946450,mem=90G,node=1
58302608_21|shared|2026-09-14T04:44:07|2026-09-14T11:34:25|COMPLETED|3150|billing=50,cpu=50,energy=1423048,mem=90G,node=1
58302608_22|shared|2026-09-14T04:44:07|2026-09-14T11:39:30|COMPLETED|5107|billing=50,cpu=50,energy=2573896,mem=90G,node=1
58302608_23|shared|2026-09-14T04:44:07|2026-09-14T11:54:10|COMPLETED|3721|billing=50,cpu=50,energy=1717638,mem=90G,node=1
58302608_24|shared|2026-09-14T04:44:07|2026-09-14T11:59:56|COMPLETED|4238|billing=50,cpu=50,energy=2164310,mem=90G,node=1
58302608_25|shared|2026-09-14T04:44:07|2026-09-14T12:24:28|COMPLETED|3430|billing=50,cpu=50,energy=2056431,mem=90G,node=1
58302608_26|shared|2026-09-14T04:44:07|2026-09-14T12:24:28|COMPLETED|4346|billing=50,cpu=50,energy=2302551,mem=90G,node=1
58302608_27|shared|2026-09-14T04:44:07|2026-09-14T12:30:07|COMPLETED|4536|billing=50,cpu=50,energy=2715918,mem=90G,node=1
